GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RedRadishes Core,redradishes.guava,CollectionBuilders.new ArrayBuilderFactory.Builder() {...},16,0,0,0,5,0,3,0,3,0
RedRadishes Core,redradishes.guava,CollectionBuilders.new MapBuilderFactory.Builder() {...},17,0,0,0,5,0,3,0,3,0
RedRadishes Core,redradishes.guava,CollectionBuilders,15,0,0,0,3,0,5,0,5,0
RedRadishes Core,redradishes.guava,RedisClient,10,58,0,0,4,13,3,10,3,10
RedRadishes Core,redradishes.guava,IoFutureAdapter,94,0,10,0,19,0,14,0,8,0
RedRadishes Core,redradishes.guava,RedisClientFactory,0,34,0,0,0,9,0,3,0,3
RedRadishes Core,redradishes.encoder,ConstExpr.new ConstExpr() {...},0,21,0,0,0,5,0,4,0,4
RedRadishes Core,redradishes.encoder,ConstExpr.new ConstExpr() {...},0,26,0,0,0,5,0,4,0,4
RedRadishes Core,redradishes.encoder,ConstExpr.new ConstExpr() {...},0,11,0,0,0,5,0,4,0,4
RedRadishes Core,redradishes.encoder,ConstExpr.new ConstExpr() {...},0,15,0,0,0,5,0,4,0,4
RedRadishes Core,redradishes.encoder,IntEncoder,0,35,0,0,0,6,0,7,0,7
RedRadishes Core,redradishes.encoder,ConstExpr.new ConstExpr() {...},0,8,0,0,0,4,0,4,0,4
RedRadishes Core,redradishes.encoder,ConstExpr.new ConstExpr() {...},38,46,2,4,9,10,3,5,1,4
RedRadishes Core,redradishes.encoder,ConstExpr.new ConstExpr() {...},0,62,0,0,0,12,0,5,0,5
RedRadishes Core,redradishes.encoder,ConstExpr.7.new ByteSink() {...},6,44,0,0,2,11,0,5,0,5
RedRadishes Core,redradishes.encoder,ConstExpr,0,53,0,0,0,11,0,10,0,10
RedRadishes Core,redradishes.encoder,Encoder2.new Encoder3() {...},0,28,0,0,0,3,0,3,0,3
RedRadishes Core,redradishes.encoder,Encoder2.new Encoder2() {...},0,26,0,0,0,3,0,3,0,3
RedRadishes Core,redradishes.encoder,Encoder2.new Encoder2() {...},26,0,0,0,3,0,3,0,3,0
RedRadishes Core,redradishes.encoder,IntEncoder.new IntEncoder() {...},0,37,0,2,0,3,0,4,0,3
